Vehicle_Category,CNG ONLY,DIESEL,DIESEL/HYBRID,DI-METHYL ETHER,DUAL DIESEL/BIO CNG,DUAL DIESEL/CNG,DUAL DIESEL/LNG,ELECTRIC(BOV),ETHANOL,FUEL CELL HYDROGEN,LNG,LPG ONLY,METHANOL,NOT APPLICABLE,PETROL,PETROL/CNG,PETROL/ETHANOL,PETROL/HYBRID,PETROL/LPG,PETROL/METHANOL,PLUG-IN HYBRID EV,PURE EV,SOLAR,STRONG HYBRID EV,Total
HEAVY GOODS VEHICLE,"46,939","58,55,610",92,0,0,40,52,809,1,1,749,51,0,"60,547","13,562",263,0,1,320,0,0,72,56,0,"59,79,165"
HEAVY MOTOR VEHICLE,17,"96,792",115,0,0,0,0,154,0,0,0,33,0,"4,695",748,0,0,1,23,0,0,0,4,0,"1,02,582"
HEAVY PASSENGER VEHICLE,"49,672","7,55,697",49,0,0,13,0,"9,498",25,16,8,4,0,"9,665","3,948",136,0,0,68,0,0,"1,137",11,0,"8,29,947"
LIGHT GOODS VEHICLE,"4,37,612","90,66,552",221,0,2,11,0,"16,437",13,1,0,"6,043",4,"6,22,585","3,51,373","51,671",36,2,"8,536",0,0,937,93,0,"1,05,62,129"
LIGHT MOTOR VEHICLE,"19,562","2,79,14,500","1,67,676",1,0,6,0,"2,12,288",59,2,7,"13,639",7,"12,80,609","3,18,15,614","42,46,223","52,276","11,73,650","12,08,102",1,74,"49,714",268,"86,849","6,82,41,127"
LIGHT PASSENGER VEHICLE,"52,822","30,70,265","4,657",0,0,4,0,"25,348",2,2,1,"1,185",0,"37,237","4,85,966","7,24,336",265,"28,395","53,274",0,0,"4,618",63,"2,224","44,90,664"
MEDIUM GOODS VEHICLE,"50,446","8,16,824",19,0,0,6,0,44,1,0,2,11,0,"23,701","3,833",106,0,0,31,0,0,0,25,0,"8,95,049"
MEDIUM MOTOR VEHICLE,34,"1,61,865",20,0,0,1,0,61,1,0,0,3,0,"37,604","1,045",7,0,10,43,0,0,0,4,0,"2,00,698"
MEDIUM PASSENGER VEHICLE,"18,161","3,21,928",9,0,0,5,0,835,0,1,4,2,0,"1,809",943,78,0,0,27,0,0,39,4,0,"3,43,845"
THREE WHEELER (INVALID CARRIAGE),0,7,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,22
THREE WHEELER(NT),"6,822","5,30,699",0,0,0,0,0,"1,674",0,0,0,630,0,"3,729","1,05,614","8,667",0,0,"11,872",0,0,31,5,0,"6,69,743"
THREE WHEELER(T),"12,44,494","43,65,633",25,0,0,0,0,"23,75,611",4,0,3,"1,63,791",0,"52,586","12,64,524","12,66,458",1,8,"7,19,838",0,0,"86,689",92,0,"1,15,39,757"
TWO WHEELER (INVALID CARRIAGE),0,140,0,0,0,0,0,141,0,0,0,0,0,58,"1,26,422",8,55,0,33,0,0,14,0,0,"1,26,871"
TWO WHEELER(NT),"54,577","1,39,157",45,0,1,0,1,"25,47,087",816,11,4,"1,001",32,"2,87,124","28,26,05,099","20,454","12,70,054",36,"25,163",5,0,"7,14,492","1,508",2,"28,76,66,669"
TWO WHEELER(T),46,98,0,0,0,0,0,"14,297",1,0,0,1,0,210,"1,16,845",5,"5,888",0,34,0,0,"4,537",5,0,"1,41,967"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
